"Residual fuel, U.S. product supplied",
thousand barrels per day ,
1936,841
1937,892
1938,808
1939,877
1940,929
1941,1050
1942,1111
1943,1279
1944,1396
1945,1434
1946,1307
1947,1420
1948,1368
1949,1359
1950,1517
1951,1546
1952,1517
1953,1536
1954,1431
1955,1526
1956,1538
1957,1504
1958,1455
1959,1544
1960,1529
1961,1503
1962,1495
1963,1477
1964,1515
1965,1608
1966,1716
1967,1786
1968,1826
1969,1978
1970,2204
1971,2296
1972,2529
1973,2822
1974,2639
1975,2462
1976,2801
1977,3071
1978,3023
1979,2826
1980,2508
1981,2088
1982,1716
1983,1421
1984,1369
1985,1202
1986,1418
1987,1264
1988,1378
1989,1370
1990,1229
1991,1158
1992,1094
1993,1080
1994,1021
1995,852
1996,848
1997,797
1998,887
1999,830
2000,909
2001,811
2002,700
2003,772
2004,865
2005,920
2006,689
2007,723
2008,622
2009,511
2010,535
