U.S. residential heating oil prices ,,,,,,
dollars per gallon,,,,,,
,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12
4-Oct-10,2.396,2.774,3.663,2.501,2.91,3.692
11-Oct-10,2.387,2.794,3.39,2.533,2.953,3.682
18-Oct-10,2.385,2.869,3.227,2.636,2.972,3.768
25-Oct-10,2.387,2.953,3.059,2.722,2.987,
1-Nov-10,2.382,3.11,2.987,2.734,2.992,
8-Nov-10,2.37,3.206,2.941,2.747,3.078,
15-Nov-10,2.38,3.215,2.83,2.744,3.125,
22-Nov-10,2.374,3.287,2.713,2.748,3.11,
29-Nov-10,2.379,3.274,2.68,2.747,3.113,
6-Dec-10,2.442,3.259,2.512,2.763,3.204,
13-Dec-10,2.444,3.298,2.47,2.748,3.242,
20-Dec-10,2.444,3.301,2.409,2.754,3.26,
27-Dec-10,2.434,3.341,2.33,2.797,3.314,
3-Jan-11,2.415,3.395,2.365,2.88,3.339,
10-Jan-11,2.388,3.361,2.439,2.984,3.362,
17-Jan-11,2.351,3.33,2.421,2.952,3.45,
24-Jan-11,2.333,3.316,2.4,2.898,3.478,
31-Jan-11,2.36,3.306,2.389,2.864,3.523,
7-Feb-11,2.413,3.305,2.359,2.851,3.577,
14-Feb-11,2.449,3.395,2.308,2.855,3.587,
21-Feb-11,2.453,3.461,2.233,2.903,3.617,
28-Feb-11,2.473,3.55,2.22,2.9,3.755,
7-Mar-11,2.496,3.677,2.182,2.919,3.873,
14-Mar-11,2.495,3.852,2.16,2.929,3.878,
