U.S. residential propane prices ,,,,,,
dollars per gallon,,,,,,
,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12
4-Oct-10,1.941,2.125,2.66,2.06,2.359,2.769
11-Oct-10,1.942,2.153,2.603,2.076,2.393,2.78
18-Oct-10,1.934,2.208,2.557,2.111,2.412,2.802
25-Oct-10,1.933,2.248,2.527,2.157,2.425,
1-Nov-10,1.934,2.333,2.5,2.184,2.454,
8-Nov-10,1.94,2.412,2.463,2.213,2.502,
15-Nov-10,1.946,2.435,2.443,2.241,2.521,
22-Nov-10,1.945,2.449,2.415,2.273,2.554,
29-Nov-10,1.95,2.461,2.401,2.292,2.579,
6-Dec-10,1.974,2.471,2.369,2.337,2.599,
13-Dec-10,1.978,2.487,2.341,2.355,2.625,
20-Dec-10,1.982,2.502,2.33,2.404,2.676,
27-Dec-10,1.984,2.524,2.317,2.463,2.709,
3-Jan-11,1.986,2.563,2.31,2.534,2.739,
10-Jan-11,1.993,2.565,2.306,2.66,2.762,
17-Jan-11,1.992,2.563,2.312,2.671,2.789,
24-Jan-11,1.992,2.562,2.324,2.675,2.804,
31-Jan-11,1.996,2.563,2.324,2.683,2.818,
7-Feb-11,2.005,2.552,2.32,2.688,2.827,
14-Feb-11,2.02,2.55,2.31,2.691,2.819,
21-Feb-11,2.025,2.58,2.292,2.684,2.815,
28-Feb-11,2.029,2.604,2.274,2.675,2.858,
7-Mar-11,2.029,2.603,2.246,2.649,2.88,
14-Mar-11,2.046,2.598,2.223,2.623,2.857,
