,production (thousand bbl/d),consumption (thousand bbl/d)
1990,388,205.26889
1991,492,177.83
1992,480.948,184.54393
1993,554,208.8669
1994,560.00018,224.2526
1995,575,225.99756
1996,582.304,229.34461
1997,561.23288,239.94211
1998,553.36986,248.18249
1999,538,255.77928
2000,522.82514,255.52385
2001,483.94,253.72949
2002,472.227,256.08473
2003,463.98082,257.10333
2004,446.05613,257.6186
2005,432.0375,258.65365
2006,406.37668,261.11815
2007,380,264.30652
2008,369.2986,275
2009,368.00378,283
2010,367.12828,292
