average million barrels per day,,,,,,
United States,2008,2009,2010,2011,2012,2013
Crude oil (including lease condensate),5,5.35,5.48,5.65,6.4,7.05
Natural gas liquids,1.78,1.91,2.07,2.21,2.37,2.36
Other liquids,0.78,0.89,1.08,1.19,1.15,1.17
Refinery processing gain,0.99,0.98,1.07,1.08,1.07,1.08
,,,,,,
Saudi Arabia,2008,2009,2010,2011,2012,
Crude oil (including lease condensate),9.26,8.25,8.9,9.46,9.91,
Natural gas liquids,1.43,1.42,1.53,1.61,1.63,
Other liquids,0.08,0.08,0.08,0.08,0.08,
Refinery processing gain,0.06,0.06,0.07,0.07,0.07,
