Date,Million Short Tons
1989 q1,21429
1989 q2,28445
1989 q3,23991
1989 q4,26949
1990 q1,22383
1990 q2,27733
1990 q3,29497
1990 q4,26191
1991 q1,22318
1991 q2,26214
1991 q3,31197
1991 q4,29239
1992 q1,24731
1992 q2,27010
1992 q3,26481
1992 q4,24294
1993 q1,18870
1993 q2,19946
1993 q3,18522
1993 q4,17181
1994 q1,14877
1994 q2,17940
1994 q3,19704
1994 q4,18838
1995 q1,18988
1995 q2,23184
1995 q3,22175
1995 q4,24201
1996 q1,20516
1996 q2,23039
1996 q3,23504
1996 q4,23414
1997 q1,20011
1997 q2,20603
1997 q3,22354
1997 q4,20576
1998 q1,18621
1998 q2,20749
1998 q3,19898
1998 q4,18780
1999 q1,12961
1999 q2,14449
1999 q3,16075
1999 q4,14991
2000 q1,13598
2000 q2,14379
2000 q3,15799
2000 q4,14713
2001 q1,11841
2001 q2,13500
2001 q3,11655
2001 q4,11671
2002 q1,9253
2002 q2,11043
2002 q3,9257
2002 q4,10050
2003 q1,8518
2003 q2,11450
2003 q3,12094
2003 q4,10952
2004 q1,"9,688"
2004 q2,"15,255"
2004 q3,"12,203"
2004 q4,"10,852"
2005 q1,"10,129"
2005 q2,"14,803"
2005 q3,"12,620"
2005 q4,"12,390"
2006 q1,"10,659"
2006 q2,"12,590"
2006 q3,"13,540"
2006 q4,"12,858"
2007 q1,"11,139"
2007 q2,"14,702"
2007 q3,"16,198"
2007 q4,"17,124"
2008 q1,"15,802"
2008 q2,"23,069"
2008 q3,"20,321"
2008 q4,"22,329"
2009 q1,"13,335"
2009 q2,"12,951"
2009 q3,"15,159"
2009 q4,"17,653"
2010 q1,"17,807"
2010 q2,"21,965"
2010 q3,"21,074"
2010 q4,"20,870"
2011 q1,"26,617"
