Net generation by select fuel types,,,,,,,
million kilowatthours ,,,,,,,
Year,Month,Hydro,Coal,Nat Gas,Nuclear,Other,Total
2009,1,23490,171925,66390,74102,19085,354993
2009,2,17812,140916,62139,64227,15794,300887
2009,3,21827,135530,68203,67241,17802,310603
2009,4,25770,125935,61159,59408,17265,289537
2009,5,29560,131673,68146,65395,16532,311306
2009,6,29233,148087,84205,69735,16398,347658
2009,7,23385,158234,101894,72949,16081,372542
2009,8,19580,163260,109240,72245,16896,381221
2009,9,17359,137145,92127,65752,15019,327401
2009,10,19691,139956,72603,58021,16770,307040
2009,11,21008,136810,63285,59069,16463,296635
2009,12,24730,166434,71590,70710,17044,350507
2010,1,22383,173320,74173,72569,18512,360957
2010,2,20590,153044,66198,65245,14657,319735
2010,3,20886,144406,63431,64635,18811,312168
2010,4,19097,126952,64644,57611,19497,287800
2010,5,25079,143272,73665,66658,19261,327936
2010,6,29854,165491,92268,68301,19844,375759
2010,7,24517,179600,114624,71913,19071,409725
2010,8,20119,177745,121151,71574,18294,408884
2010,9,17265,148746,93004,69371,17659,346045
2010,10,17683,132270,77738,62751,17479,307921
2010,11,19562,135185,69227,62655,19381,306010
2010,12,23169,167258,77573,73683,20435,362119
2011,1,26148,170983,74458,72743,19523,363855
2011,2,24687,138295,65852,64789,19729,313351
2011,3,31737,134717,66169,65662,20807,319092
2011,4,31629,124293,70529,54547,21995,302994
2011,5,33105,137493,75769,57017,21372,324757
2011,6,32253,158308,91096,65270,21257,368184
2011,7,31570,176709,120377,72345,18479,419480
2011,8,26320,171472,119646,71339,17674,406450
2011,9,21500,141220,91377,66849,16660,337606
2011,10,20036,126872,79078,63354,19939,309279
2011,11,21374,121197,75637,64474,21586,304268
2011,12,24715,132706,86606,71837,20554,336419
2012,1,23933,129064,91213,72382,24150,340743
2012,2,20813,113831,91260,63850,20543,310298
2012,3,26287,106032,92739,61730,22921,309709
