Winter Heating Oil and Natural Gas Northeast Residential Prices,,,,,,,,,
Fuel,,,,,,,,,Forecast
,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012
,,,,,,,,,
Northeast average residential prices,,,,,,,,,
,,,,,,,,,
natural gas,,,,,,,,,
Natural gas ($/mcf),11.77671145,12.64614174,16.35480536,14.7432034,15.16760004,15.82307964,13.32204288,12.65416539,13.25
million Btu/mcf,1.025,1.025,1.025,1.025,1.025,1.025,1.025,1.025,1.025
Natural gas ($/million Btu),11.48947458,12.33769926,15.95590766,14.38361307,14.79765857,15.43715087,12.99711501,12.34552721,12.92682927
,,,,,,,,,
heating oil,,,,,,,,,
Heating Oil ($/gallon),1.453448562,1.939540466,2.440940408,2.423969653,3.325733686,2.654231618,2.848321707,3.383153729,3.712477141
million Btu/barrel,5.825,5.825,5.825,5.825,5.825,5.825,5.825,5.825,5.825
million Btu/gal,0.138690476,0.138690476,0.138690476,0.138690476,0.138690476,0.138690476,0.138690476,0.138690476,0.138690476
Heating Oil ($/million Btu),10.47980079,13.98466946,17.59991367,17.47754943,23.97953903,19.13780737,20.53725522,24.39355478,26.76807552
