Number of Northeast Homes Heating Primarily with Heating Oil or Natural Gas,,,,,,,,,
,,,,,,,,,Forecast
,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012
Number of Households,,,,,,,,,
,,,,,,,,,
natural gas,10144.48592,10225.79177,10257.14642,10304.98635,10444.52888,10622.78389,10752.84072,10795.5682,10850.58323
heating oil,6876.146052,6743.342236,6582.944927,6488.811617,6347.89864,6116.845697,5873.622189,5679.076284,5507.564996
,,,,,,,,,
Households - change from previous year,,,,,,,,,
,,,,,,,,,
natural gas,,81.30584882,31.35465315,47.83992238,139.5425357,178.2550099,130.0568289,42.72747972,55.01503131
heating oil,,-132.8038163,-160.3973085,-94.13331013,-140.912977,-231.0529425,-243.2235085,-194.5459049,-171.5112876
