,Monthly crude oil movements ,5-year average crude oil movements (2006-2010),,
Jan-10,132.0645161,53.21290323,,
Feb-10,125.6428571,54.76576355,,
Mar-10,164.9032258,59.99354839,,
Apr-10,120.3666667,47.27333333,,
May-10,133.3548387,40.01935484,,
Jun-10,132.5,37.36,,
Jul-10,146.9032258,61.85806452,,
Aug-10,129.6129032,57.56129032,,
Sep-10,164.4,59.11333333,,
Oct-10,154.4516129,56.73548387,,
Nov-10,190.4333333,57.06,,
Dec-10,165.2580645,60.46451613,,
Jan-11,165.3548387,79.2,,
Feb-11,170.25,78.40147783,,
Mar-11,201.0967742,84.76129032,,
Apr-11,208,68.97333333,,
May-11,193.9032258,64.32258065,,
