operating year,coal (MW),hydro (MW),natural gas (MW),nuclear (MW),other (MW),petroleum (MW),wind (MW)
1890,0,0,0,0,0,0,0
1891,0,3.9,0,0,0,0,0
1892,0,0,0,0,0,0,0
1893,0,0,0,0,0,0,0
1894,0,0,0,0,0,0,0
1895,0,0,0,0,0,0,0
1896,0,3.6,0,0,0,0,0
1897,0,0,0,0,0,0,0
1898,0,6.3,0,0,0,0,0
1899,0,3.8,0,0,0,0,0
1900,0,10.5,0,0,0,0,0
1901,0,4,0,0,0,0,0
1902,0,2.4,0,0,0,0,0
1903,0,29.6,0,0,0,0,0
1904,0,32.7,0,0,0,0,0
1905,0,35.7,0,0,0,0,0
1906,0,32.9,0,0,0,0,0
1907,0,109.2,0,0,0,0,0
1908,0,42.5,0,0,0,0,0
1909,0,71.2,0,0,0,0,0
1910,0,165.3,0,0,0,0,0
1911,0,137.8,0,0,0,0,0
1912,0,135.2,0,0,0,0,0
1913,0,360.9,0,0,0,0,0
1914,0,178.9,0,0,0,0,0
1915,0,258.3,0.5,0,0,0,0
1916,0,176.9,0,0,0,0,0
1917,0,270.6,0,0,0,0,0
1918,0,151.8,0,0,0,0,0
1919,0,312.2,0,0,0,0,0
1920,0,157.4,0,0,0,0,0
1921,9.4,283,0,0,0,0,0
1922,0,171,0,0,0,0,0
1923,0,379.4,0,0,0,11,0
1924,6,502.6,0,0,0,11,0
1925,18,710.1,0,0,0,0.8,0
1926,0,289.4,0,0,0,0,0
1927,0,422.7,8,0,0,0.1,0
1928,3,973.8,16,0,52.5,1.2,0
1929,20.3,253.5,0,0,6,0.3,0
1930,31.1,830.4,6.6,0,4,2.9,0
1931,0,604.9,0,0,0,0.6,0
1932,0,208.2,0,0,0,0.5,0
1933,0,35.7,0,0,0,18,0
1934,3,37.5,0,0,2.8,0.8,0
1935,0,53.1,3.5,0,0,0.2,0
1936,9,788.2,0,0,0,3.2,0
1937,7.5,334.9,0,0,8.2,4.2,0
1938,27.7,676.7,5.5,0,7.5,3,0
1939,30.6,448,2.1,0,20.1,5.5,0
1940,86.1,404.1,11.3,0,22,3.8,0
1941,88.5,731.5,0,0,20,42.4,0
1942,174.6,1125.8,22.5,0,19.1,6.7,0
1943,283.2,1078,22,0,78.5,0,0
1944,95,1054.6,1.2,0,0,40.6,0
1945,70.7,398.7,31.4,0,0,6.5,0
1946,45.5,55.7,39,0,10.5,21.4,0
1947,170.5,170.4,76.7,0,35,191.2,0
1948,330.6,812.7,520.1,0,73.2,82.4,0
1949,1024.8,1294.8,436.8,0,280.9,155.1,0
1950,1285.2,1191.2,634.3,0,85.7,213.2,0
1951,1761.7,1395.3,1171.5,0,91.7,260.3,0
1952,2729.9,1697.8,608.8,0,57.6,76,0
1953,4082.5,1901.8,1021.6,0,36.9,41.3,0
1954,5694,1292.1,2149,0,113.5,359.3,0
1955,6950.7,1764.2,1280.3,0,153.1,580.1,0
1956,1832.3,1203.1,2227.2,0,117.6,127.1,0
1957,3554.9,1502.5,1497.2,0,98.8,257.3,0
1958,6819.5,2835.3,5142.1,0,117.1,740.3,0
1959,6701.8,1742.3,2843.9,0,70.6,512.8,0
1960,5591.5,1601.6,2408.4,0,117.8,535.8,0
1961,4653.1,3441.3,2797.9,0,100.5,843,0
1962,4187.2,2584.2,2715.4,0,71.1,750.9,0
1963,4174.6,3441.7,3746.2,0,59.3,629,0
1964,4413.8,2309.4,2669.9,0,70.4,1000.2,0
1965,5391.8,2120.3,3617.3,0,254.3,1107.4,0
1966,4039.3,1576.4,2855.4,0,148.3,681.6,0
1967,7613.5,3938.8,6175.1,0,183.3,1202.6,0
1968,9573.4,2891.1,4272.4,0,200,2513.5,0
1969,11565.2,2029.2,4628.7,2378.4,308.8,1278.7,0
1970,11322.9,1591.5,6402.3,1959.7,110.2,1207.4,0
1971,12545.3,1412.4,8271.8,2163,175.7,1900.1,0
1972,11465.7,634.7,8596.7,5863.7,124.8,4369.9,0
1973,15414.8,5870.4,5974.5,3838.2,65,2476.4,0
1974,11157,1405.8,7644.8,9064.9,46,7271.6,0
1975,10727.9,2552.8,7510,6234.2,68,4559.7,16.5
1976,8051.5,1793.4,3488.4,3626.3,230.3,2597.6,0
1977,11539.8,1339.9,3186.4,6671.9,101.6,2484.6,0
1978,12169.8,3828.6,2192.6,1963,122.6,2282.1,0
1979,10024,3496.5,2086,883,229.9,1012.2,0
1980,15040.5,1515.7,340.9,1896,453.1,1072.1,0
1981,9673.6,419.1,606.6,4270,339.5,1984.4,17.6
1982,11672.3,760.3,888.6,1125.7,435.1,191,19.5
1983,6355,865.7,630.3,3094,370.8,187,342.4
1984,10449.4,1994.8,892,7705,554.6,85,176.5
1985,6924.1,4223.7,1366.4,8184,769.1,91.5,111.2
1986,6034.2,627,1169.7,9370.4,569.9,192.8,99.3
1987,4383.1,447.1,2273.9,6376,634.2,85.9,110
1988,1950.4,441.1,2465.9,6033,908.8,136.2,26.6
1989,3408.6,544.3,3325.7,2432,1061.1,541.9,98.8
1990,2011.3,433.1,4680.1,3590.3,728.8,335.4,157
1991,3115.1,1522.7,2772.1,0,875,699.1,76.9
1992,1525.5,206.9,5297.7,0,307,227.8,6.9
1993,173.5,179.3,3596.7,1158,404,121.9,4.2
1994,966.6,267.5,7817.8,0,338.5,151.3,136.1
1995,1937.8,1003.5,5950.4,0,159.4,165.6,30
1996,1783.8,56.3,3461.1,1123,461.3,207.1,28.3
1997,75.7,61.8,3556.1,0,278.6,353.1,19.5
1998,0,2.1,1950,0,241.3,166.4,174.8
1999,270,119,7885.8,0,160,218.3,683.4
2000,132.9,3.7,25075.1,0,375.9,606.4,54.9
