bcf,Residential,Commerical,Industrial,Power
Jan-2001,976.677,500.267,686.54,340.292
Feb-2001,780.482,422.407,640.026,312.843
Mar-2001,681.884,375.688,664.918,362.843
Apr-2001,400.728,255.361,622.054,384.494
May-2001,209.327,164.146,576.532,433.923
Jun-2001,146.837,135.449,536.82,492.819
Jul-2001,123.777,130.415,570.067,634.425
Aug-2001,116.934,133.687,589.875,686.753
Sep-2001,127.482,143.342,578.59,510.262
Oct-2001,237.466,185.356,617.291,466.08
Nov-2001,360.721,230.554,618.95,350.549
Dec-2001,609.025,346.038,642.556,367.018
Jan-2002,815.227,435.234,685.763,381.434
Feb-2002,712.863,399.911,630.595,344.243
Mar-2002,660.43,372.845,655.481,406.516
Apr-2002,415.196,267.206,644.771,404.384
May-2002,255.083,192.07,610.26,410.108
Jun-2002,159.973,146.151,593.101,550.941
Jul-2002,125.065,136.841,605.786,733.887
Aug-2002,115.678,135.717,609.554,717.592
Sep-2002,123.904,141.457,573.31,568.699
Oct-2002,250.573,199.288,610.879,442.357
Nov-2002,483.192,298.091,628.977,351.612
Dec-2002,771.634,419.358,658.702,360.123
Jan-2003,945.975,514.945,687.821,382.443
Feb-2003,884.238,482.485,643.666,334.698
Mar-2003,674.582,388.19,615.956,361.243
Apr-2003,414.495,261.069,574.624,352.164
May-2003,247.693,179.065,557.167,394.021
Jun-2003,157.454,134.302,511.339,435.598
Jul-2003,126.624,131.884,574.374,630.27
Aug-2003,115.852,130.829,580.776,683.513
Sep-2003,128.621,136.088,564.407,468.51
Oct-2003,231.558,176.727,598.581,408.817
Nov-2003,413.663,256.26,596.599,348.129
Dec-2003,738.596,387.647,645.086,335.81
Jan-2004,962.91,506.719,678.466,361.401
Feb-2004,857.45,477.627,647.323,373.466
Mar-2004,591.428,357.088,625.818,375.203
Apr-2004,379.642,253.143,584.852,389.328
May-2004,213.645,172.982,567.112,485.114
Jun-2004,144.885,138.786,561.992,508.14
Jul-2004,124.882,128.669,569.717,626.401
Aug-2004,119.809,128.662,582.231,612.571
Sep-2004,124.924,132.058,568.699,529.44
Oct-2004,216.417,175.142,592.293,439.841
Nov-2004,407.202,256.336,605.432,376.169
Dec-2004,725.603,401.76,658.903,386.69
Jan-2005,892.345,466.725,650.55,384.71
Feb-2005,759.126,411.963,590.628,330.547
Mar-2005,678.019,377.031,604.482,386.309
Apr-2005,384.163,242.656,565.847,390.358
May-2005,247.525,173.748,540.437,422.978
Jun-2005,152.02,135.458,516.286,594.137
Jul-2005,122.282,124.649,521.506,777
Aug-2005,112.6,123.903,525.847,791.293
Sep-2005,118.261,126.731,477.031,577.543
Oct-2005,202.172,162.077,501.544,434.692
Nov-2005,387.025,240.134,527,373.351
Dec-2005,771.237,413.844,576.172,406.226
Jan-2006,713.698,396.993,578.866,318.364
Feb-2006,702.28,390.067,557.882,346.138
Mar-2006,625.925,352.874,582.631,406.97
Apr-2006,355.496,225.687,533.117,426.027
May-2006,203.512,160.316,518.993,504.409
Jun-2006,141.157,134.267,506.995,629.66
Jul-2006,115.586,121.913,511.319,863.531
Aug-2006,108.439,126.396,529.9,840.197
Sep-2006,124.922,133.02,518.824,548.321
Oct-2006,240.448,187.618,542.943,527.532
Nov-2006,413.409,256.21,552.901,396.586
Dec-2006,623.595,346.668,577.745,414.365
Jan-2007,803.075,431.711,621.238,448.149
Feb-2007,899.461,477.253,599.092,425.485
Mar-2007,616.531,354.274,578.347,416.015
Apr-2007,407.708,259.849,539.121,453.144
May-2007,215.724,168.349,520.568,507.089
Jun-2007,137.169,134.769,510.274,628.467
Jul-2007,117.616,122.408,509.975,760.521
Aug-2007,112.015,127.081,530.54,969.433
Sep-2007,116.439,127.32,516.992,683.327
Oct-2007,174.272,157.691,540.434,604.092
Nov-2007,405.477,257.247,567.569,448.18
Dec-2007,716.871,394.952,613.912,497.505
Jan-2008,883.643,477.148,659.019,531.46
Feb-2008,818.272,458.833,616.963,438.868
Mar-2008,656.262,380.467,609.102,460.763
Apr-2008,388.459,255.171,556.599,469.607
May-2008,230.229,179.744,541.867,475.467
Jun-2008,144.313,133.735,512.751,665.436
Jul-2008,118.416,127.749,524.937,782.039
Aug-2008,111.287,126.688,528.07,762.946
Sep-2008,118.1,129.153,477.056,602.565
Oct-2008,218.058,185.477,536.964,545.244
Nov-2008,433.37,275.603,545.521,457.591
Dec-2008,771.868,422.761,552.381,476.394
Jan-2009,947.657,517.941,582.44,487.414
Feb-2009,756.273,426.659,523.65,453.454
Mar-2009,600.277,358.283,535.664,499.651
Apr-2009,390.313,249.142,492.439,451.359
May-2009,201.428,166.242,467.729,515.428
Jun-2009,141.109,133.509,459.156,642.742
Jul-2009,118.611,128.1,476.327,777.944
Aug-2009,111.467,128.836,495.478,840.232
Sep-2009,119.669,131.411,483.859,689.953
Oct-2009,251.007,198.642,521.931,536.97
Nov-2009,376.453,251.366,532.741,457.065
Dec-2009,764.213,428.702,595.779,519.838
Jan-2010,969.531,518.808,620.588,544.251
Feb-2010,826.835,462.297,574.223,476.518
Mar-2010,605.979,351.519,577.786,452.327
Apr-2010,324.923,223.555,518.679,471.613
May-2010,203.732,166.281,526.99,560.386
Jun-2010,138.221,131.943,512.412,706.811
Jul-2010,114.751,123.206,520.811,900.223
Aug-2010,110.362,130.585,525.307,947.772
Sep-2010,121.045,136.167,518.781,696.381
Oct-2010,207.57,190.023,527.797,566.283
Nov-2010,458.314,292.491,556.769,492.655
Dec-2010,870.894,479.142,619.88,562.481
Jan-2011,969.714,523.438,642.547,547.104
Feb-2011,779.498,434.685,583.983,482.557
Mar-2011,606.5,361.248,593.94,470.588
