,Residential/Commercial,Industrial,Power
Jan-2001,59%,27%,14%
Feb-2001,56%,30%,15%
Mar-2001,51%,32%,17%
Apr-2001,39%,37%,23%
May-2001,27%,42%,31%
Jun-2001,21%,41%,38%
Jul-2001,17%,39%,43%
Aug-2001,16%,39%,45%
Sep-2001,20%,43%,37%
Oct-2001,28%,41%,31%
Nov-2001,38%,40%,22%
Dec-2001,49%,33%,19%
Jan-2002,54%,30%,16%
Feb-2002,53%,30%,16%
Mar-2002,49%,31%,19%
Apr-2002,39%,37%,23%
May-2002,30%,42%,28%
Jun-2002,21%,41%,38%
Jul-2002,16%,38%,46%
Aug-2002,16%,39%,45%
Sep-2002,19%,41%,40%
Oct-2002,30%,41%,29%
Nov-2002,44%,36%,20%
Dec-2002,54%,30%,16%
Jan-2003,58%,27%,15%
Feb-2003,58%,27%,14%
Mar-2003,52%,30%,18%
Apr-2003,42%,36%,22%
May-2003,31%,40%,29%
Jun-2003,24%,41%,35%
Jul-2003,18%,39%,43%
Aug-2003,16%,38%,45%
Sep-2003,20%,43%,36%
Oct-2003,29%,42%,29%
Nov-2003,41%,37%,22%
Dec-2003,53%,31%,16%
Jan-2004,59%,27%,14%
Feb-2004,57%,27%,16%
Mar-2004,49%,32%,19%
Apr-2004,39%,36%,24%
May-2004,27%,39%,34%
Jun-2004,21%,41%,37%
Jul-2004,17%,39%,43%
Aug-2004,17%,40%,42%
Sep-2004,19%,42%,39%
Oct-2004,27%,42%,31%
Nov-2004,40%,37%,23%
Dec-2004,52%,30%,18%
Jan-2005,57%,27%,16%
Feb-2005,56%,28%,16%
Mar-2005,52%,30%,19%
Apr-2005,40%,36%,25%
May-2005,30%,39%,31%
Jun-2005,21%,37%,42%
Jul-2005,16%,34%,50%
Aug-2005,15%,34%,51%
Sep-2005,19%,37%,44%
Oct-2005,28%,39%,33%
Nov-2005,41%,34%,24%
Dec-2005,55%,27%,19%
Jan-2006,55%,29%,16%
Feb-2006,55%,28%,17%
Mar-2006,50%,30%,21%
Apr-2006,38%,35%,28%
May-2006,26%,37%,36%
Jun-2006,19%,36%,45%
Jul-2006,15%,32%,53%
Aug-2006,15%,33%,52%
Sep-2006,19%,39%,41%
Oct-2006,29%,36%,35%
Nov-2006,41%,34%,24%
Dec-2006,49%,29%,21%
Jan-2007,54%,27%,19%
Feb-2007,57%,25%,18%
Mar-2007,49%,29%,21%
Apr-2007,40%,32%,27%
May-2007,27%,37%,36%
Jun-2007,19%,36%,44%
Jul-2007,16%,34%,50%
Aug-2007,14%,30%,56%
Sep-2007,17%,36%,47%
Oct-2007,22%,37%,41%
Nov-2007,39%,34%,27%
Dec-2007,50%,28%,22%
Jan-2008,53%,26%,21%
Feb-2008,55%,26%,19%
Mar-2008,49%,29%,22%
Apr-2008,38%,33%,28%
May-2008,29%,38%,33%
Jun-2008,19%,35%,46%
Jul-2008,16%,34%,50%
Aug-2008,16%,34%,50%
Sep-2008,19%,36%,45%
Oct-2008,27%,36%,37%
Nov-2008,41%,32%,27%
Dec-2008,54%,25%,21%
Jan-2009,58%,23%,19%
Feb-2009,55%,24%,21%
Mar-2009,48%,27%,25%
Apr-2009,40%,31%,28%
May-2009,27%,35%,38%
Jun-2009,20%,33%,47%
Jul-2009,16%,32%,52%
Aug-2009,15%,31%,53%
Sep-2009,18%,34%,48%
Oct-2009,30%,35%,36%
Nov-2009,39%,33%,28%
Dec-2009,52%,26%,22%
Jan-2010,56%,23%,20%
Feb-2010,55%,25%,20%
Mar-2010,48%,29%,23%
Apr-2010,36%,34%,31%
May-2010,25%,36%,38%
Jun-2010,18%,34%,47%
Jul-2010,14%,31%,54%
Aug-2010,14%,31%,55%
Sep-2010,17%,35%,47%
Oct-2010,27%,35%,38%
Nov-2010,42%,31%,27%
Dec-2010,53%,24%,22%
Jan-2011,56%,24%,20%
Feb-2011,53%,26%,21%
Mar-2011,48%,29%,23%
