year,nuclear capacity (MW) by operating year,nuclear capacity (MW) by construction permit year
1964,,614.5
1965,,621.2
1966,,3336.7
1967,,11934
1968,,18072.7
1969,2378.4,6447.1
1970,1959.7,11500.1
1971,2163,4096
1972,5863.7,3137
1973,3838.2,5579
1974,9064.9,13452.4
1975,6234.2,10587.7
1976,3626.3,9491.3
1977,6671.9,2134
1978,1963,
1979,883,
1980,1896,
1981,4270,
1982,1125.7,
1983,3094,
1984,7705,
1985,8184,
1986,9370.4,
1987,6376,
1988,6033,
1989,2432,
1990,3590.3,
1991,,
1992,,
1993,1158,
1994,,
1995,,
1996,1123,
