Date,2007,2008,2009,2010,2011,MAX,MIN,Difference
1-Jan,1956.028,7925.108,2621.128,5151.96,3566.708,7925.108,1956.028,5969.08
2-Jan,1648.728,7207.658,2418.238,4840.84,3727.55,7207.658,1648.728,5558.93
3-Jan,1508.178,6051.658,2780.758,5003.47,3828.95,6051.658,1508.178,4543.48
4-Jan,2549.795,6024.653,3420.548,5130.24,4394.34,6024.653,2549.795,3474.858
5-Jan,1845.285,7137.725,2914.698,6246.952,4539.616,7137.725,1845.285,5292.44
6-Jan,3992.171,6508.093,2581.108,5597.19,4527.226,6508.093,2581.108,3926.985
7-Jan,3630.272,5794.763,2594.218,4520.259,4645.208,5794.763,2594.218,3200.545
8-Jan,1658.858,5824.568,2508.738,5468.573,4062.341,5824.568,1658.858,4165.71
9-Jan,1268.868,6886.2,2493.558,5543.675,5500.053,6886.2,1268.868,5617.332
10-Jan,1308.388,7521.268,2811.667,5977.45,6032.65,7521.268,1308.388,6212.88
11-Jan,1868.608,7040.598,3273.677,6097.89,5896.718,7040.598,1868.608,5171.99
12-Jan,2988.528,9708.283,2639.858,7659.748,5907.973,9708.283,2639.858,7068.425
13-Jan,3941.816,11533.848,2513.518,8070.681,5777.505,11533.848,2513.518,9020.33
14-Jan,3387.043,10893.998,2901.958,9665.753,5385.75,10893.998,2901.958,7992.04
15-Jan,2486.793,10624.398,2923.088,7719.876,6478.05,10624.398,2486.793,8137.605
16-Jan,1880.548,10198.148,3913.017,7241.31,6962.53,10198.148,1880.548,8317.6
17-Jan,1880.548,10902.918,3919.418,8542.183,6241.58,10902.918,1880.548,9022.37
18-Jan,1880.704,9490.898,3861.164,7570.005,4586.18,9490.898,1880.704,7610.194
19-Jan,1897.385,7816.908,4250.462,6736.978,5728.61,7816.908,1897.385,5919.523
20-Jan,1949.228,8064.388,4677.192,7802.746,5672.42,8064.388,1949.228,6115.16
21-Jan,2652.486,6582.08,3819.366,8826.77,6788.83,8826.77,2652.486,6174.284
22-Jan,2431.436,6131.708,4539.482,6668.38,8448.03,6668.38,2431.436,4236.944
23-Jan,2354.796,5609.233,4651.168,7000.67,10150.22,7000.67,2354.796,4645.874
24-Jan,3160.848,5743.868,4641.598,5796.58,8796.86,5796.58,3160.848,2635.732
25-Jan,2926.063,6367.018,5277.053,4256.93,7692.4,6367.018,2926.063,3440.955
26-Jan,3863.826,7281.33,5014.354,3407.33,7250.3,7281.33,3407.33,3874
27-Jan,8924.593,7729.79,6004.249,3217.43,6876.86,8924.593,3217.43,5707.163
28-Jan,8186.369,6603.928,5684.184,3347.25,6220.48,8186.369,3347.25,4839.119
29-Jan,7436.652,7066.168,6017.98,3227.89,5756.54,7436.652,3227.89,4208.762
30-Jan,6880.544,7589.328,5428.614,3205.51,6428.18,7589.328,3205.51,4383.818
31-Jan,6204.319,7287.494,5109.964,3791.94,5979.21,7287.494,3791.94,3495.554
1-Feb,6095.561,9427.595,5157.878,4015.82,5487.84,9427.595,4015.82,5411.775
2-Feb,3571.552,11190.248,5278.608,3763.05,5368.79,11190.248,3571.552,7618.696
3-Feb,3158.855,12022.228,6435.798,3691.57,6495.99,12022.228,3158.855,8863.373
4-Feb,3400.619,13111.518,6915.454,4279.054,7018.14,13111.518,3400.619,9710.899
5-Feb,3513.7,11919.914,6203.515,5896.4,7028.604,11919.914,3513.7,8406.214
6-Feb,4043.294,11664.798,5924.831,6686.61,7763.787,11664.798,4043.294,7621.504
7-Feb,4666.492,10649.688,6968.43,6390.56,8223.655,10649.688,4666.492,5983.196
