Date,hydro primary energy consumption (trillion btu),geothermal primary energy consumption (trillion btu),solar primary energy consumption (trillion btu),wind primary energy consumption (trillion btu),wood primary energy consumption (trillion btu),biogenic waste primary energy consumption (trillion btu),biofuels primary energy consumption (trillion btu)
1/1/1973,273,1,0,0,130,0,0
2/1/1973,242,1,0,0,117,0,0
3/1/1973,269,1,0,0,130,0,0
4/1/1973,253,2,0,0,125,0,0
5/1/1973,261,2,0,0,130,0,0
6/1/1973,250,2,0,0,125,0,0
7/1/1973,236,2,0,0,130,0,0
8/1/1973,222,2,0,0,130,0,0
9/1/1973,180,1,0,0,126,0,0
10/1/1973,192,2,0,0,130,0,0
11/1/1973,210,2,0,0,125,0,0
12/1/1973,274,2,0,0,130,0,0
1/1/1974,305,2,0,0,131,0,0
2/1/1974,280,2,0,0,118,0,0
3/1/1974,291,2,0,0,131,0,0
4/1/1974,294,2,0,0,126,0,0
5/1/1974,295,2,0,0,131,0,0
6/1/1974,281,2,0,0,126,0,0
7/1/1974,277,2,0,0,131,0,0
8/1/1974,253,2,0,0,131,0,0
9/1/1974,225,2,0,0,126,0,0
10/1/1974,211,2,0,0,131,0,0
11/1/1974,223,2,0,0,126,0,0
12/1/1974,243,3,0,0,131,0,0
1/1/1975,263,2,0,0,127,0,0
2/1/1975,251,2,0,0,115,0,0
3/1/1975,294,2,0,0,127,0,0
4/1/1975,280,2,0,0,123,0,0
5/1/1975,292,2,0,0,127,0,0
6/1/1975,285,3,0,0,123,0,0
7/1/1975,268,3,0,0,127,0,0
8/1/1975,238,3,0,0,127,0,0
9/1/1975,216,3,0,0,123,0,0
10/1/1975,238,3,0,0,127,0,0
11/1/1975,257,3,0,0,123,0,0
12/1/1975,273,3,0,0,127,0,0
1/1/1976,273,3,0,0,145,0,0
2/1/1976,257,3,0,0,136,0,0
3/1/1976,279,3,0,0,145,0,0
4/1/1976,253,3,0,0,140,0,0
5/1/1976,268,3,0,0,145,0,0
6/1/1976,268,3,0,0,140,0,0
7/1/1976,273,3,0,0,145,0,0
8/1/1976,250,3,0,0,145,0,0
9/1/1976,213,3,0,0,140,0,0
10/1/1976,221,3,0,0,145,0,0
11/1/1976,208,3,0,0,140,0,0
12/1/1976,213,3,0,0,145,0,0
1/1/1977,219,3,0,0,156,0,0
2/1/1977,160,3,0,0,141,0,0
3/1/1977,210,3,0,0,156,0,0
4/1/1977,197,3,0,0,151,0,0
