Date,renewable energy consumption (trillion btu),nuclear energy consumption (trillion btu)
1973/01,404,68
1973/02,361,65
1973/03,400,72
1973/04,380,64
1973/05,392,62
1973/06,377,74
1973/07,367,76
1973/08,354,85
1973/09,307,86
1973/10,323,82
1973/11,338,89
1973/12,407,88
1974/01,437,85
1974/02,400,91
1974/03,423,98
1974/04,422,80
1974/05,428,73
1974/06,409,79
1974/07,410,114
1974/08,386,138
1974/09,354,123
1974/10,344,121
1974/11,352,123
1974/12,377,148
1975/01,393,154
1975/02,368,140
1975/03,423,164
1975/04,405,147
1975/05,421,152
1975/06,412,140
1975/07,398,169
1975/08,368,175
1975/09,342,159
1975/10,369,161
1975/11,383,156
1975/12,404,184
1976/01,422,178
1976/02,396,159
1976/03,427,155
1976/04,397,121
1976/05,416,132
1976/06,412,174
1976/07,421,196
1976/08,398,203
1976/09,357,191
1976/10,369,192
1976/11,351,178
1976/12,361,233
1977/01,379,239
1977/02,304,211
1977/03,369,223
1977/04,351,214
1977/05,357,222
1977/06,336,232
1977/07,337,235
1977/08,336,245
1977/09,328,211
1977/10,341,205
1977/11,370,210
1977/12,400,256
1978/01,439,283
1978/02,392,239
1978/03,433,246
1978/04,434,192
1978/05,476,223
1978/06,433,243
1978/07,431,274
1978/08,408,280
1978/09,392,243
1978/10,379,252
1978/11,379,272
1978/12,408,278
1979/01,448,302
1979/02,390,282
1979/03,458,265
1979/04,446,200
1979/05,489,163
1979/06,442,175
1979/07,425,227
1979/08,409,263
1979/09,379,237
1979/10,398,228
1979/11,415,209
1979/12,425,224
1980/01,479,215
1980/02,424,210
1980/03,469,219
1980/04,477,205
1980/05,517,201
1980/06,498,200
1980/07,471,229
1980/08,429,265
1980/09,402,257
1980/10,403,267
1980/11,410,229
1980/12,449,241
1981/01,462,262
1981/02,427,238
1981/03,444,243
1981/04,438,228
1981/05,480,218
1981/06,497,233
1981/07,491,255
1981/08,454,297
1981/09,407,269
1981/10,417,227
1981/11,418,251
1981/12,477,287
1982/01,514,284
1982/02,490,224
1982/03,545,252
1982/04,517,241
1982/05,526,240
1982/06,519,266
1982/07,519,282
1982/08,483,277
1982/09,434,281
1982/10,440,257
1982/11,470,257
1982/12,523,270
1983/01,562,273
1983/02,523,242
1983/03,573,261
1983/04,561,244
1983/05,582,240
1983/06,569,263
1983/07,551,279
1983/08,528,286
1983/09,476,273
1983/10,474,281
1983/11,507,273
1983/12,588,287
1984/01,570,318
1984/02,535,308
1984/03,579,297
1984/04,566,263
1984/05,594,280
1984/06,553,274
1984/07,548,307
1984/08,524,320
1984/09,471,316
1984/10,480,269
1984/11,486,266
1984/12,532,335
1985/01,555,384
1985/02,512,327
1985/03,525,330
1985/04,513,281
1985/05,543,305
1985/06,507,328
1985/07,490,374
1985/08,476,370
1985/09,454,367
1985/10,475,331
1985/11,500,320
1985/12,534,359
1986/01,486,383
1986/02,479,346
1986/03,559,326
1986/04,540,322
1986/05,545,338
1986/06,527,331
1986/07,513,380
1986/08,483,397
1986/09,472,387
1986/10,482,383
1986/11,492,370
1986/12,532,417
1987/01,521,417
1987/02,453,382
1987/03,499,389
1987/04,478,350
1987/05,509,358
1987/06,467,382
1987/07,468,418
1987/08,449,432
1987/09,437,414
1987/10,443,381
1987/11,423,391
1987/12,476,439
1988/01,495,473
1988/02,447,448
1988/03,469,466
1988/04,456,425
1988/05,486,431
1988/06,454,467
1988/07,443,528
1988/08,437,520
1988/09,426,491
1988/10,423,452
1988/11,449,420
1988/12,472,467
1989/01,511,490
1989/02,462,410
1989/03,533,419
1989/04,530,354
1989/05,562,406
1989/06,545,455
1989/07,524,554
1989/08,512,582
1989/09,487,475
1989/10,511,461
1989/11,522,459
1989/12,535,537
1990/01,513,583
1990/02,509,529
1990/03,568,488
1990/04,530,408
1990/05,525,454
1990/06,503,490
1990/07,499,568
1990/08,497,590
1990/09,447,513
1990/10,460,459
1990/11,460,477
1990/12,530,546
1991/01,571,570
1991/02,466,502
1991/03,519,515
1991/04,493,436
1991/05,540,490
1991/06,513,568
1991/07,499,637
1991/08,511,613
1991/09,491,544
1991/10,467,500
1991/11,469,485
1991/12,530,562
1992/01,537,606
1992/02,450,553
1992/03,483,480
1992/04,446,443
1992/05,455,478
1992/06,497,536
1992/07,486,587
1992/08,490,614
1992/09,458,533
1992/10,473,511
1992/11,499,531
1992/12,547,608
1993/01,566,621
1993/02,479,539
1993/03,544,490
1993/04,526,454
1993/05,535,529
1993/06,505,553
1993/07,490,594
1993/08,500,590
1993/09,462,525
1993/10,469,467
1993/11,485,492
1993/12,521,558
1994/01,549,594
1994/02,476,521
1994/03,531,512
1994/04,516,451
1994/05,494,507
1994/06,496,541
1994/07,537,618
1994/08,484,628
1994/09,430,581
1994/10,478,530
1994/11,483,578
1994/12,514,632
1995/01,517,666
1995/02,479,545
1995/03,551,545
1995/04,536,518
1995/05,531,571
1995/06,560,592
1995/07,599,652
1995/08,579,648
1995/09,499,585
1995/10,561,570
1995/11,560,554
1995/12,587,629
1996/01,610,661
1996/02,574,587
1996/03,629,583
1996/04,556,529
1996/05,595,584
1996/06,607,604
1996/07,609,640
1996/08,594,646
1996/09,512,573
1996/10,567,532
1996/11,562,548
1996/12,598,600
1997/01,631,618
1997/02,565,532
1997/03,629,529
1997/04,603,471
1997/05,640,494
1997/06,606,547
1997/07,610,602
1997/08,566,641
1997/09,512,552
1997/10,582,493
1997/11,528,537
1997/12,544,582
1998/01,593,607
1998/02,536,535
1998/03,587,563
